title,abstract,link,,authors,date,,,,,,
Vista-LLaMA: Reliable Video Teller via Equal Distance to Visual Tokens,"Recent advances in large video-language models have displayed promising outcomes in video comprehension. Current approaches straightforwardly convert video into language tokens and employ large language models for multi-modal tasks. However, this method often leads to the generation of irrelevant content, commonly known as ""hallucination"", as the length of the text increases and the impact of the video diminishes. To address this problem, we propose Vista-LLaMA, a novel framework that maintains the consistent distance between all visual tokens and any language tokens, irrespective of the generated text length. Vista-LLaMA omits relative position encoding when determining attention weights between visual and text tokens, retaining the position encoding for text and text tokens. This amplifies the effect of visual tokens on text generation, especially when the relative distance is longer between visual and text tokens. The proposed attention mechanism significantly reduces the chance of producing irrelevant text related to the video content. Furthermore, we present a sequential visual projector that projects the current video frame into tokens of language space with the assistance of the previous frame. This approach not only captures the temporal relationship within the video, but also allows less visual tokens to encompass the entire video. Our approach significantly outperforms various previous methods (e.g., Video-ChatGPT, MovieChat) on four challenging open-ended video question answering benchmarks. We reach an accuracy of 60.7 on the zero-shot NExT-QA and 60.5 on the zero-shot MSRVTT-QA, setting a new state-of-the-art performance. This project is available at https://jinxxian.github.io/Vista-LLaMA.",http://arxiv.org/abs/2312.08870v1,,Fan Ma (None) | Xiaojie Jin (ByteDance/TikTok) | Heng Wang (Bytedance) | Yuchen Xian (Zhejiang University) | Jiashi Feng (ByteDance) | Yi Yang (Zhejiang University),2023-12-12 09:47:59+00:00,,,,,,
Text-to-Image Diffusion Models are Great Sketch-Photo Matchmakers,"This paper, for the first time, explores text-to-image diffusion models for Zero-Shot Sketch-based Image Retrieval (ZS-SBIR). We highlight a pivotal discovery: the capacity of text-to-image diffusion models to seamlessly bridge the gap between sketches and photos. This proficiency is underpinned by their robust cross-modal capabilities and shape bias, findings that are substantiated through our pilot studies. In order to harness pre-trained diffusion models effectively, we introduce a straightforward yet powerful strategy focused on two key aspects: selecting optimal feature layers and utilising visual and textual prompts. For the former, we identify which layers are most enriched with information and are best suited for the specific retrieval requirements (category-level or fine-grained). Then we employ visual and textual prompts to guide the model's feature extraction process, enabling it to generate more discriminative and contextually relevant cross-modal representations. Extensive experiments on several benchmark datasets validate significant performance improvements.",http://arxiv.org/abs/2403.07214v1,,"Subhadeep Koley (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Aneeshan Sain (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Tao Xiang (University Of Surrey) | Yi-Zhe Song (None)",2024-03-12 00:02:03+00:00,,,,,,
How to Handle Sketch-Abstraction in Sketch-Based Image Retrieval?,,,,"Subhadeep Koley (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Aneeshan Sain (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Tao Xiang (University Of Surrey) | Yi-Zhe Song (None)",,,,,,,
You'll Never Walk Alone: A Sketch and Text Duet for Fine-Grained Image Retrieval,"Two primary input modalities prevail in image retrieval: sketch and text. While text is widely used for inter-category retrieval tasks, sketches have been established as the sole preferred modality for fine-grained image retrieval due to their ability to capture intricate visual details. In this paper, we question the reliance on sketches alone for fine-grained image retrieval by simultaneously exploring the fine-grained representation capabilities of both sketch and text, orchestrating a duet between the two. The end result enables precise retrievals previously unattainable, allowing users to pose ever-finer queries and incorporate attributes like colour and contextual cues from text. For this purpose, we introduce a novel compositionality framework, effectively combining sketches and text using pre-trained CLIP models, while eliminating the need for extensive fine-grained textual descriptions. Last but not least, our system extends to novel applications in composite image retrieval, domain attribute transfer, and fine-grained generation, providing solutions for various real-world scenarios.",http://arxiv.org/abs/2403.07222v1,,"Subhadeep Koley (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Aneeshan Sain (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Tao Xiang (University Of Surrey) | Yi-Zhe Song (None)",2024-03-12 00:27:18+00:00,,,,,,
It's All About Your Sketch: Democratising Sketch Control in Diffusion Models,"This paper unravels the potential of sketches for diffusion models, addressing the deceptive promise of direct sketch control in generative AI. We importantly democratise the process, enabling amateur sketches to generate precise images, living up to the commitment of ""what you sketch is what you get"". A pilot study underscores the necessity, revealing that deformities in existing models stem from spatial-conditioning. To rectify this, we propose an abstraction-aware framework, utilising a sketch adapter, adaptive time-step sampling, and discriminative guidance from a pre-trained fine-grained sketch-based image retrieval model, working synergistically to reinforce fine-grained sketch-photo association. Our approach operates seamlessly during inference without the need for textual prompts; a simple, rough sketch akin to what you and I can create suffices! We welcome everyone to examine results presented in the paper and its supplementary. Contributions include democratising sketch control, introducing an abstraction-aware framework, and leveraging discriminative guidance, validated through extensive experiments.",http://arxiv.org/abs/2403.07234v1,,"Subhadeep Koley (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Deeptanshu Sekhri (University Of Surrey) | Aneeshan Sain (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Tao Xiang (University Of Surrey) | Yi-Zhe Song (None)",2024-03-12 01:05:25+00:00,,,,,,
A Little Trust Goes a Long Way: What Sketch Explainability Really Means for Downstream Tasks,"In this paper, we explore the unique modality of sketch for explainability, emphasising the profound impact of human strokes compared to conventional pixel-oriented studies. Beyond explanations of network behavior, we discern the genuine implications of explainability across diverse downstream sketch-related tasks. We propose a lightweight and portable explainability solution -- a seamless plugin that integrates effortlessly with any pre-trained model, eliminating the need for re-training. Demonstrating its adaptability, we present four applications: highly studied retrieval and generation, and completely novel assisted drawing and sketch adversarial attacks. The centrepiece to our solution is a stroke-level attribution map that takes different forms when linked with downstream tasks. By addressing the inherent non-differentiability of rasterisation, we enable explanations at both coarse stroke level (SLA) and partial stroke level (P-SLA), each with its advantages for specific downstream tasks.",http://arxiv.org/abs/2403.09480v1,,"Hmrishav Bandyopadhyay (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Aneeshan Sain (University Of Surrey) | Tao Xiang (University Of Surrey) | Yi-Zhe Song (None)",2024-03-14 15:22:33+00:00,,,,,,
SketchINR: A First Look into Sketches as Implicit Neural Representations,"We propose SketchINR, to advance the representation of vector sketches with implicit neural models. A variable length vector sketch is compressed into a latent space of fixed dimension that implicitly encodes the underlying shape as a function of time and strokes. The learned function predicts the $xy$ point coordinates in a sketch at each time and stroke. Despite its simplicity, SketchINR outperforms existing representations at multiple tasks: (i) Encoding an entire sketch dataset into a fixed size latent vector, SketchINR gives $60\times$ and $10\times$ data compression over raster and vector sketches, respectively. (ii) SketchINR's auto-decoder provides a much higher-fidelity representation than other learned vector sketch representations, and is uniquely able to scale to complex vector sketches such as FS-COCO. (iii) SketchINR supports parallelisation that can decode/render $\sim$$100\times$ faster than other learned vector representations such as SketchRNN. (iv) SketchINR, for the first time, emulates the human ability to reproduce a sketch with varying abstraction in terms of number and complexity of strokes. As a first look at implicit sketches, SketchINR's compact high-fidelity representation will support future work in modelling long and complex sketches.",http://arxiv.org/abs/2403.09344v1,,"Hmrishav Bandyopadhyay (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Pinaki Nath Chowdhury (University Of Surrey) | Aneeshan Sain (University Of Surrey) | Tao Xiang (University Of Surrey) | Timothy Hospedales (None) | Yi-Zhe Song (None)",2024-03-14 12:49:29+00:00,,,,,,
Doodle Your 3D: From Abstract Freehand Sketches to Precise 3D Shapes,"In this paper, we democratise 3D content creation, enabling precise generation of 3D shapes from abstract sketches while overcoming limitations tied to drawing skills. We introduce a novel part-level modelling and alignment framework that facilitates abstraction modelling and cross-modal correspondence. Leveraging the same part-level decoder, our approach seamlessly extends to sketch modelling by establishing correspondence between CLIPasso edgemaps and projected 3D part regions, eliminating the need for a dataset pairing human sketches and 3D shapes. Additionally, our method introduces a seamless in-position editing process as a byproduct of cross-modal part-aligned modelling. Operating in a low-dimensional implicit space, our approach significantly reduces computational demands and processing time.",http://arxiv.org/abs/2312.04043v1,,"Hmrishav Bandyopadhyay (University Of Surrey) | Subhadeep Koley (University Of Surrey) | Ayan Das (University Of Surrey) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Aneeshan Sain (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Tao Xiang (University Of Surrey) | Yi-Zhe Song (None)",2023-12-07 05:04:33+00:00,,,,,,
DemoCaricature: Democratising Caricature Generation with a Rough Sketch,"In this paper, we democratise caricature generation, empowering individuals to effortlessly craft personalised caricatures with just a photo and a conceptual sketch. Our objective is to strike a delicate balance between abstraction and identity, while preserving the creativity and subjectivity inherent in a sketch. To achieve this, we present Explicit Rank-1 Model Editing alongside single-image personalisation, selectively applying nuanced edits to cross-attention layers for a seamless merge of identity and style. Additionally, we propose Random Mask Reconstruction to enhance robustness, directing the model to focus on distinctive identity and style features. Crucially, our aim is not to replace artists but to eliminate accessibility barriers, allowing enthusiasts to engage in the artistry.",http://arxiv.org/abs/2312.04364v1,,"Dar-Yen Chen (None) | Ayan Kumar Bhunia (University Of Surrey, United Kingdom) | Subhadeep Koley (University Of Surrey) | Aneeshan Sain (University Of Surrey) | Pinaki Nath Chowdhury (University Of Surrey) | Yi-Zhe Song (None)",2023-12-07 15:35:42+00:00,,,,,,
Wired Perspectives: Multi-View Wire Art Embraces Generative AI,"Creating multi-view wire art (MVWA), a static 3D sculpture with diverse interpretations from different viewpoints, is a complex task even for skilled artists. In response, we present DreamWire, an AI system enabling everyone to craft MVWA easily. Users express their vision through text prompts or scribbles, freeing them from intricate 3D wire organisation. Our approach synergises 3D B\'ezier curves, Prim's algorithm, and knowledge distillation from diffusion models or their variants (e.g., ControlNet). This blend enables the system to represent 3D wire art, ensuring spatial continuity and overcoming data scarcity. Extensive evaluation and analysis are conducted to shed insight on the inner workings of the proposed system, including the trade-off between connectivity and visual aesthetics.",http://arxiv.org/abs/2311.15421v1,,Zhiyu Qu (University Of Surrey) | LAN YANG (Beijing University Of Posts And Telecommunications) | Honggang Zhang (Beijing University Of Posts And Telecommunications) | Tao Xiang (University Of Surrey) | Kaiyue Pang (SketchX AI) | Yi-Zhe Song (None),2023-11-26 21:09:00+00:00,,,,,,
From SAM to CAMs: Exploring Segment Anything Model for Weakly Supervised Semantic Segmentation,,,,Hyeokjun Kweon (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
Quantifying Task Priority for Multi-Task Optimization,,,,Wooseong Jeong (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
Weakly Supervised Point Cloud Semantic Segmentation via Artificial Oracle,,,,Hyeokjun Kweon (KAIST) | Jihun Kim (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
Frequency-aware Event-based Video Deblurring for Real-World Motion Blur,,,,Taewoo Kim (KAIST) | Hoonhee Cho (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
Multi-agent Long-term 3D Human Pose Forecasting via Interaction-aware Trajectory Conditioning,,,,Jaewoo Jeong (KAIST) | Daehee Park (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
Towards Robust 3D Object Detection with LiDAR and 4D Radar Fusion in Various Weather Conditions,,,,Yujeong Chae (KAIST) | Hyeonseong Kim (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
TTA-EVF: Test-Time Adaptation for Event-based Video Frame Interpolation via Reliable Pixel and Sample Estimation,,,,Hoonhee Cho (KAIST) | Taewoo Kim (KAIST) | Yuhwan Jeong (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
Class Tokens Infusion for Weakly Supervised Semantic Segmentation,,,,Sung-Hoon Yoon (KAIST) | Hoyong Kwon (KAIST) | Hyeonseong Kim (KAIST) | Kuk-Jin Yoon (KAIST),,,,,,,
T4P: Test-Time Training of Trajectory Prediction via Masked Autoencoder and Actor-specific Token Memory,"Trajectory prediction is a challenging problem that requires considering interactions among multiple actors and the surrounding environment. While data-driven approaches have been used to address this complex problem, they suffer from unreliable predictions under distribution shifts during test time. Accordingly, several online learning methods have been proposed using regression loss from the ground truth of observed data leveraging the auto-labeling nature of trajectory prediction task. We mainly tackle the following two issues. First, previous works underfit and overfit as they only optimize the last layer of the motion decoder. To this end, we employ the masked autoencoder (MAE) for representation learning to encourage complex interaction modeling in shifted test distribution for updating deeper layers. Second, utilizing the sequential nature of driving data, we propose an actor-specific token memory that enables the test-time learning of actor-wise motion characteristics. Our proposed method has been validated across various challenging cross-dataset distribution shift scenarios including nuScenes, Lyft, Waymo, and Interaction. Our method surpasses the performance of existing state-of-the-art online learning methods in terms of both prediction accuracy and computational efficiency. The code is available at https://github.com/daeheepark/T4P.",http://arxiv.org/abs/2403.10052v1,,Daehee Park (KAIST) | Jaeseok Jeong (KAIST) | Sung-Hoon Yoon (KAIST) | Jaewoo Jeong (KAIST) | Kuk-Jin Yoon (KAIST),2024-03-15 06:47:14+00:00,,,,,,
Intrinsic Image Diffusion for Single-view Material Estimation,"We present Intrinsic Image Diffusion, a generative model for appearance decomposition of indoor scenes. Given a single input view, we sample multiple possible material explanations represented as albedo, roughness, and metallic maps. Appearance decomposition poses a considerable challenge in computer vision due to the inherent ambiguity between lighting and material properties and the lack of real datasets. To address this issue, we advocate for a probabilistic formulation, where instead of attempting to directly predict the true material properties, we employ a conditional generative model to sample from the solution space. Furthermore, we show that utilizing the strong learned prior of recent diffusion models trained on large-scale real-world images can be adapted to material estimation and highly improves the generalization to real images. Our method produces significantly sharper, more consistent, and more detailed materials, outperforming state-of-the-art methods by $1.5dB$ on PSNR and by $45\%$ better FID score on albedo prediction. We demonstrate the effectiveness of our approach through experiments on both synthetic and real-world datasets.",http://arxiv.org/abs/2312.12274v1,,Peter Kocsis (None) | Vincent Sitzmann (Massachusetts Institute Of Technology) | Matthias Nie??ner (Technical University Of Munich),2023-12-19 15:56:19+00:00,,,,,,
DiffusionAvatars: Deferred Diffusion for High-fidelity 3D Head Avatars,"DiffusionAvatars synthesizes a high-fidelity 3D head avatar of a person, offering intuitive control over both pose and expression. We propose a diffusion-based neural renderer that leverages generic 2D priors to produce compelling images of faces. For coarse guidance of the expression and head pose, we render a neural parametric head model (NPHM) from the target viewpoint, which acts as a proxy geometry of the person. Additionally, to enhance the modeling of intricate facial expressions, we condition DiffusionAvatars directly on the expression codes obtained from NPHM via cross-attention. Finally, to synthesize consistent surface details across different viewpoints and expressions, we rig learnable spatial features to the head's surface via TriPlane lookup in NPHM's canonical space. We train DiffusionAvatars on RGB videos and corresponding tracked NPHM meshes of a person and test the obtained avatars in both self-reenactment and animation scenarios. Our experiments demonstrate that DiffusionAvatars generates temporally consistent and visually appealing videos for novel poses and expressions of a person, outperforming existing approaches.",http://arxiv.org/abs/2311.18635v1,,"Tobias Kirschstein (Department Of Informatics, Technische Universit??t M??nchen) | Simon Giebenhain (Technische Universit??t M??nchen) | Matthias Nie??ner (Technical University Of Munich)",2023-11-30 15:43:13+00:00,,,,,,
DPHMs: Diffusion Parametric Head Models for Depth-based Tracking,"We introduce Diffusion Parametric Head Models (DPHMs), a generative model that enables robust volumetric head reconstruction and tracking from monocular depth sequences. While recent volumetric head models, such as NPHMs, can now excel in representing high-fidelity head geometries, tracking and reconstruction heads from real-world single-view depth sequences remains very challenging, as the fitting to partial and noisy observations is underconstrained. To tackle these challenges, we propose a latent diffusion-based prior to regularize volumetric head reconstruction and tracking. This prior-based regularizer effectively constrains the identity and expression codes to lie on the underlying latent manifold which represents plausible head shapes. To evaluate the effectiveness of the diffusion-based prior, we collect a dataset of monocular Kinect sequences consisting of various complex facial expression motions and rapid transitions. We compare our method to state-of-the-art tracking methods, and demonstrate improved head identity reconstruction as well as robust expression tracking.",http://arxiv.org/abs/2312.01068v1,,Jiapeng Tang (Technische Universit??t M??nchen) | Angela Dai (None) | Yinyu Nie (Huawei Technologies Ltd.) | Lev Markhasin (None) | Justus Thies (Max-Planck Institute For Intelligent Systems) | Matthias Nie??ner (Technical University Of Munich),2023-12-02 08:34:22+00:00,,,,,,
DiffuScene: Denoising Diffusion Model for Generative Indoor Scene Synthesis,"We present DiffuScene for indoor 3D scene synthesis based on a novel scene configuration denoising diffusion model. It generates 3D instance properties stored in an unordered object set and retrieves the most similar geometry for each object configuration, which is characterized as a concatenation of different attributes, including location, size, orientation, semantics, and geometry features. We introduce a diffusion network to synthesize a collection of 3D indoor objects by denoising a set of unordered object attributes. Unordered parametrization simplifies and eases the joint distribution approximation. The shape feature diffusion facilitates natural object placements, including symmetries. Our method enables many downstream applications, including scene completion, scene arrangement, and text-conditioned scene synthesis. Experiments on the 3D-FRONT dataset show that our method can synthesize more physically plausible and diverse indoor scenes than state-of-the-art methods. Extensive ablation studies verify the effectiveness of our design choice in scene diffusion models.",http://arxiv.org/abs/2303.14207v2,,Jiapeng Tang (Technische Universit??t M??nchen) | Yinyu Nie (Huawei Technologies Ltd.) | Lev Markhasin (None) | Angela Dai (None) | Justus Thies (Max-Planck Institute For Intelligent Systems) | Matthias Nie??ner (Technical University Of Munich),2023-03-24 18:00:15+00:00,,,,,,
FaceTalk: Audio-Driven Motion Diffusion for Neural Parametric Head Models,"We introduce FaceTalk, a novel generative approach designed for synthesizing high-fidelity 3D motion sequences of talking human heads from input audio signal. To capture the expressive, detailed nature of human heads, including hair, ears, and finer-scale eye movements, we propose to couple speech signal with the latent space of neural parametric head models to create high-fidelity, temporally coherent motion sequences. We propose a new latent diffusion model for this task, operating in the expression space of neural parametric head models, to synthesize audio-driven realistic head sequences. In the absence of a dataset with corresponding NPHM expressions to audio, we optimize for these correspondences to produce a dataset of temporally-optimized NPHM expressions fit to audio-video recordings of people talking. To the best of our knowledge, this is the first work to propose a generative approach for realistic and high-quality motion synthesis of volumetric human heads, representing a significant advancement in the field of audio-driven 3D animation. Notably, our approach stands out in its ability to generate plausible motion sequences that can produce high-fidelity head animation coupled with the NPHM shape space. Our experimental results substantiate the effectiveness of FaceTalk, consistently achieving superior and visually natural motion, encompassing diverse facial expressions and styles, outperforming existing methods by 75% in perceptual user study evaluation.",http://arxiv.org/abs/2312.08459v1,,Shivangi Aneja (Technical University Of Munich) | Justus Thies (Max-Planck Institute For Intelligent Systems) | Angela Dai (None) | Matthias Nie??ner (Technical University Of Munich),2023-12-13 19:01:07+00:00,,,,,,
SceneTex: High-Quality Texture Synthesis for Indoor Scenes via Diffusion Priors,"We propose SceneTex, a novel method for effectively generating high-quality and style-consistent textures for indoor scenes using depth-to-image diffusion priors. Unlike previous methods that either iteratively warp 2D views onto a mesh surface or distillate diffusion latent features without accurate geometric and style cues, SceneTex formulates the texture synthesis task as an optimization problem in the RGB space where style and geometry consistency are properly reflected. At its core, SceneTex proposes a multiresolution texture field to implicitly encode the mesh appearance. We optimize the target texture via a score-distillation-based objective function in respective RGB renderings. To further secure the style consistency across views, we introduce a cross-attention decoder to predict the RGB values by cross-attending to the pre-sampled reference locations in each instance. SceneTex enables various and accurate texture synthesis for 3D-FRONT scenes, demonstrating significant improvements in visual quality and prompt fidelity over the prior texture generation methods.",http://arxiv.org/abs/2311.17261v1,,Dave Chen (Technische Universit??t M??nchen) | Haoxuan Li (Technische Universit??t M??nchen) | Hsin-Ying Lee (Snap) | Sergey Tulyakov (Snap) | Matthias Nie??ner (Technical University Of Munich),2023-11-28 22:49:57+00:00,,,,,,
GaussianAvatars: Photorealistic Head Avatars with Rigged 3D Gaussians,"We introduce GaussianAvatars, a new method to create photorealistic head avatars that are fully controllable in terms of expression, pose, and viewpoint. The core idea is a dynamic 3D representation based on 3D Gaussian splats that are rigged to a parametric morphable face model. This combination facilitates photorealistic rendering while allowing for precise animation control via the underlying parametric model, e.g., through expression transfer from a driving sequence or by manually changing the morphable model parameters. We parameterize each splat by a local coordinate frame of a triangle and optimize for explicit displacement offset to obtain a more accurate geometric representation. During avatar reconstruction, we jointly optimize for the morphable model parameters and Gaussian splat parameters in an end-to-end fashion. We demonstrate the animation capabilities of our photorealistic avatar in several challenging scenarios. For instance, we show reenactments from a driving video, where our method outperforms existing works by a significant margin.",http://arxiv.org/abs/2312.02069v1,,"Shenhan Qian (Technische Universit??t M??nchen) | Tobias Kirschstein (Department Of Informatics, Technische Universit??t M??nchen) | Liam Schoneveld (Woven By Toyota) | Davide Davoli (Toyota Motor Europe NV/SA Associated Partner By Contracted Services) | Simon Giebenhain (Technische Universit??t M??nchen) | Matthias Nie??ner (Technical University Of Munich)",2023-12-04 17:28:35+00:00,,,,,,
MonoNPHM: Dynamic Head Reconstruction from Monocular Videos,"We present Monocular Neural Parametric Head Models (MonoNPHM) for dynamic 3D head reconstructions from monocular RGB videos. To this end, we propose a latent appearance space that parameterizes a texture field on top of a neural parametric model. We constrain predicted color values to be correlated with the underlying geometry such that gradients from RGB effectively influence latent geometry codes during inverse rendering. To increase the representational capacity of our expression space, we augment our backward deformation field with hyper-dimensions, thus improving color and geometry representation in topologically challenging expressions. Using MonoNPHM as a learned prior, we approach the task of 3D head reconstruction using signed distance field based volumetric rendering. By numerically inverting our backward deformation field, we incorporated a landmark loss using facial anchor points that are closely tied to our canonical geometry representation. To evaluate the task of dynamic face reconstruction from monocular RGB videos we record 20 challenging Kinect sequences under casual conditions. MonoNPHM outperforms all baselines with a significant margin, and makes an important step towards easily accessible neural parametric face models through RGB tracking.",http://arxiv.org/abs/2312.06740v1,,"Simon Giebenhain (Technische Universit??t M??nchen) | Tobias Kirschstein (Department Of Informatics, Technische Universit??t M??nchen) | Markos Georgopoulos (Synthesia) | Martin R??nz (Synthesia) | Lourdes Agapito (University College London) | Matthias Nie??ner (Technical University Of Munich)",2023-12-11 17:55:05+00:00,,,,,,
ViewDiff: 3D-Consistent Image Generation with Text-To-Image Models,"3D asset generation is getting massive amounts of attention, inspired by the recent success of text-guided 2D content creation. Existing text-to-3D methods use pretrained text-to-image diffusion models in an optimization problem or fine-tune them on synthetic data, which often results in non-photorealistic 3D objects without backgrounds. In this paper, we present a method that leverages pretrained text-to-image models as a prior, and learn to generate multi-view images in a single denoising process from real-world data. Concretely, we propose to integrate 3D volume-rendering and cross-frame-attention layers into each block of the existing U-Net network of the text-to-image model. Moreover, we design an autoregressive generation that renders more 3D-consistent images at any viewpoint. We train our model on real-world datasets of objects and showcase its capabilities to generate instances with a variety of high-quality shapes and textures in authentic surroundings. Compared to the existing methods, the results generated by our method are consistent, and have favorable visual quality (-30% FID, -37% KID).",http://arxiv.org/abs/2403.01807v1,,Lukas Hoellein (None) | Alja?? Bo??i?? (Facebook) | Norman M??ller (Meta) | David Novotny (Facebook) | Hung-Yu Tseng (Meta) | Christian Richardt (Meta Reality Labs) | Michael Zollhoefer (Meta) | Matthias Nie??ner (Technical University Of Munich),2024-03-04 07:57:05+00:00,,,,,,
